'묻지마 돈랠리'... 코스피 2400도 뚫었다
[표]코스닥 기관·외국인·개인 순매수·도 상위종목(8월 11일-최종치)
[표]유가증권 기관·외국인·개인 순매수·도 상위종목(8월 11일-최종치)
"""코스피 2500 넘어선다… IT·바이오·2차전지에 베팅하라""  [코스피 2400선도 돌파]"
"LG 2분기 영업익 3,593억···한온시스템 578억 영업손실"
"[마켓인]핌스, 증권신고서 제출…9월 코스닥 상장"
금·철광석값 치솟자… 기초소재펀드 수익률도 고공행진
"‘그린뉴딜 수혜’ 삼양사, 연기금 순매수에 주가 급등"
"[마켓인]셀레믹스, 청약경쟁률 1176.62대 1…21일 상장"
"매출 2,000% 폭증했는데...수젠텍 23% 폭락 왜?"
안 꺾이는 우선주 광풍...금융당국은 뒷짐만
"셀레믹스, 일반청약 경쟁률 1180대 1…증거금 3조 몰려"
"SKC, 자회사 솔믹스 상장폐지 추진"
장 마감 후 기업공시[8월11일]
카카오게임즈·크래프톤… IPO시장 흔들 게임株 대어 온다
"해커스어학원, 강남역 인근에 신사옥 짓는다 [마켓워치]"
"윤석헌 ""부실펀드 판매사, 고객 보호 나서야"""
용마로지스 임차 이천국제물류센터 매물로
"시노펙스, 상반기 매출액 926억원..전년比 17.62%↓(상보)"
"YG PLUS, 2Q 영업익 6.3억원..전기比 '흑전'(상보)"
"KCC, 美모멘티브 실적반영…매출 전년比 75.2% 늘었다"
"한전, 말레이시아發 훈풍에…`V자 반등` 할까"
수젠텍 23.5% 급락…`진단키트株` 리스크 수면 위로
"엔케이맥스, 알츠하이머 치료로 파이프라인 확대"
"주가 2배 뛴 CJ제일제당…""내년까지도 상승 여력 있다"""
[시그널] 유니콘 눈앞···메가존클라우드 1360억 유치
[클릭! 해외증시 이 종목] `리튬` 글로벌 최강자…美 앨버말 고공행진
"이제는 대륙이다…동학개미, 올해 中주식 1.8조원 샀다"
잘나가는 'LG 삼총사'…지주사 LG도 '신바람'
화장품 업종 주가 기지개…LG생활건강 장중 160만원 '터치'(종합)
'수소차' 올라탄 효성첨단소재…성장성에 주가 '高高'
"네이버·카카오, 너무 달렸나 ""본격 조정"" vs ""숨고르기"""
"코디, 바이오화장품 ODM 사업 추진"
삼성 브랜드 가치 68조원…인터브랜드 50대 상위 기업 선정
삼성 올해 브랜드 가치 68조원…카카오는 가장 빠른 성장
"강원랜드, 2Q 영업손실 1038억원…적자전환"
'파죽지세' 코스피...2년2개월만에 2400 돌파
오늘의 증시 메모[8월 12일]
장 중 기업공시[8월11일]
"현대홈쇼핑, 2분기 영업익 431억원…전년比 5.2%↓"
"IPO 출격 핌스, 9월 말 코스닥 상장 예정"
"카카오게임즈, 언택트 방식 해외 투자설명회 등 본격 IR 행보"
"엔케이맥스, 알츠하이머 치료로 파이프라인 확대"
"수서고속철 ""코로나19로 적자 전환 불가피…수익 다변화 노력"""
코스피 26개월만에 2400선 돌파
코스피 2400선 돌파
코스피 2400선 돌파
